City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
matamoros,25.5333,-103.25,86.11,18,40,8.05,MX,1640475016
nyurba,63.2842,118.3319,-44.05,100,61,1.66,RU,1640475032
bull savanna,17.8868,-77.5902,75.31,76,86,2.84,JM,1640475032
itarema,-2.9248,-39.9167,79.95,80,88,9.06,BR,1640475033
cap malheureux,-19.9842,57.6142,77.49,85,83,2.46,MU,1640475034
adrar,20.5022,-10.0711,65.21,24,0,9.08,MR,1640475035
mahajanga,-15.7167,46.3167,78.51,79,100,1.9,MG,1640475035
honiara,-9.4333,159.95,81.79,85,100,6.42,SB,1640475036
toora-khem,52.4675,96.11,-22.88,100,81,0.49,RU,1640475037
yankton,42.8711,-97.3973,35.85,60,1,4.61,US,1640475038
suntar,62.1444,117.6319,-32.82,99,88,3.91,RU,1640475039
panaba,21.2833,-88.2667,71.33,66,0,9.69,MX,1640475039
durazno,-33.4131,-56.5006,72.1,60,37,14.76,UY,1640475040
mezen,65.8522,44.24,7.43,95,100,6.96,RU,1640475041
terrace bay,48.7834,-87.1,17.22,78,95,9.6,CA,1640475042
fort saint james,54.4333,-124.25,-10.14,80,5,4.97,CA,1640475043
tateyama,34.9833,139.8667,43.07,54,96,7.83,JP,1640475043
kapit,2.0167,112.9333,75.04,98,99,0.45,MY,1640475044
hokitika,-42.7167,170.9667,62.49,61,77,5.44,NZ,1640475047
mehamn,71.0357,27.8492,27.79,72,100,25.17,NO,1640475047
beringovskiy,63.05,179.3167,1.27,93,100,11.63,RU,1640475048
bethel,41.3712,-73.414,45.18,90,90,1.01,US,1640475049
kavali,14.9167,79.9833,67.93,83,36,4.94,IN,1640475050
pacatuba,-3.9842,-38.6203,81.77,84,93,3.04,BR,1640475051
pisco,-13.7,-76.2167,71.65,78,75,11.5,PE,1640475111
karatau,43.1667,70.4667,36.48,85,100,4.76,KZ,1640475112
ust-nera,64.5667,143.2,-42.38,100,100,2.89,RU,1640475113
san quintin,30.4833,-115.95,60.03,72,100,9.33,MX,1640475114
talcahuano,-36.7167,-73.1167,71.28,56,0,17.27,CL,1640475003
dano,11.15,-3.0667,78.6,20,91,6.73,BF,1640475116
carmen,18.6333,-91.8333,82.44,54,1,6.91,MX,1640475117
zdunska wola,51.5992,18.9397,20.32,90,5,3.91,PL,1640475118
aquiraz,-3.9014,-38.3911,82.49,79,95,7.4,BR,1640475119
oyon,-10.6681,-76.7731,43.95,87,100,0.34,PE,1640475120
mana,5.6592,-53.7767,77.07,88,86,6.69,GF,1640475121
conceicao da barra,-18.5933,-39.7322,70.63,90,91,5.61,BR,1640475122
shelkovskaya,43.5069,46.3392,22.87,90,86,2.75,RU,1640475124
vila,42.0304,-8.1588,46.33,95,100,4.47,PT,1640475125
nouadhibou,20.931,-17.0347,67.44,63,0,13.31,MR,1640475126
port-gentil,-0.7193,8.7815,79.83,85,93,10.67,GA,1640475126
qaanaaq,77.484,-69.3632,11.16,90,100,7.14,GL,1640475127
sambava,-14.2667,50.1667,74.88,91,96,4.7,MG,1640475128
zhovtneve,50.6637,24.2492,18.61,92,18,5.97,UA,1640475129
victoria point,-27.5833,153.3,81.18,83,98,5.99,AU,1640475130
boyolangu,-8.1181,111.8935,78.71,87,99,5.06,ID,1640475131
bathsheba,13.2167,-59.5167,79.41,69,40,16.11,BB,1640475132
verkhoyansk,67.5447,133.385,-46.46,100,100,1.83,RU,1640475133
rawson,-43.3002,-65.1023,65.35,60,7,14.09,AR,1640475051
petropavlovsk-kamchatskiy,53.0452,158.6483,28.99,80,90,17.9,RU,1640475135
uyemskiy,64.4743,40.8524,3.25,85,90,6.71,RU,1640475137
vila franca do campo,37.7167,-25.4333,65.19,92,100,23.69,PT,1640475137
toyo,10.7333,125.0167,78.06,91,98,8.77,PH,1640475138
nikolskoye,59.7035,30.7861,7.81,98,100,4.07,RU,1640475139
ferkessedougou,9.6,-5.2,77.43,24,47,5.17,CI,1640475140
san julian,21.0167,-102.1667,75.2,21,1,1.66,MX,1640475141
adeje,28.1227,-16.726,66.94,81,40,2.3,ES,1640475142
touros,-5.1989,-35.4608,83.3,81,97,8.55,BR,1640475143
novikovo,51.1537,37.8879,13.15,93,100,4.43,RU,1640475144
sandakan,5.8402,118.1179,74.88,100,40,1.99,MY,1640475144
chizhou,30.6578,117.4831,26.28,39,73,9.44,CN,1640475145
ambulu,-8.345,113.6058,80.24,84,99,4.16,ID,1640475146
boa vista,2.8197,-60.6733,84.18,70,40,5.75,BR,1640475147
bud,39.447,-86.1758,55.69,92,60,6.26,US,1640475148
saint-augustin,51.226,-58.6502,28.08,97,88,5.14,CA,1640475149
eyl,7.9803,49.8164,77.34,66,94,12.53,SO,1640475149
goderich,43.7501,-81.7165,39.9,87,88,17.27,CA,1640475150
grindavik,63.8424,-22.4338,36.07,80,90,18.41,IS,1640475151
zapolyarnyy,69.4154,30.8136,24.08,92,98,15.57,RU,1640475212
